date,nav,fund,proj_id
2024-03-15,11.3932,K-US500X,M0257_2564
2024-03-18,11.4749,K-US500X,M0257_2564
2024-03-19,11.5424,K-US500X,M0257_2564
2024-03-20,11.6494,K-US500X,M0257_2564
2024-03-21,11.6736,K-US500X,M0257_2564
2024-03-22,11.6697,K-US500X,M0257_2564
2024-03-25,11.6312,K-US500X,M0257_2564
2024-03-26,11.604,K-US500X,M0257_2564
2024-03-27,11.7062,K-US500X,M0257_2564
2024-03-28,11.7071,K-US500X,M0257_2564
2024-04-01,11.6786,K-US500X,M0257_2564
2024-04-02,11.6076,K-US500X,M0257_2564
2024-04-03,11.6215,K-US500X,M0257_2564
2024-04-04,11.4774,K-US500X,M0257_2564
2024-04-05,11.593,K-US500X,M0257_2564
2024-04-09,11.5971,K-US500X,M0257_2564
2024-04-10,11.4753,K-US500X,M0257_2564
2024-04-11,11.57,K-US500X,M0257_2564
2024-04-17,11.1716,K-US500X,M0257_2564
2024-04-18,11.1458,K-US500X,M0257_2564
2024-04-19,11.0511,K-US500X,M0257_2564
2024-04-22,11.1544,K-US500X,M0257_2564
2024-04-23,11.2923,K-US500X,M0257_2564
2024-04-24,11.2826,K-US500X,M0257_2564
2024-04-25,11.2309,K-US500X,M0257_2564
2024-04-26,11.3406,K-US500X,M0257_2564
2024-04-29,11.3844,K-US500X,M0257_2564
2024-04-30,11.1999,K-US500X,M0257_2564
2024-05-02,11.2627,K-US500X,M0257_2564
2024-05-03,11.3977,K-US500X,M0257_2564
2024-05-07,11.5248,K-US500X,M0257_2564
2024-05-08,11.5265,K-US500X,M0257_2564
2024-05-09,11.5886,K-US500X,M0257_2564
2024-05-10,11.5978,K-US500X,M0257_2564
2024-05-13,11.6033,K-US500X,M0257_2564
2024-05-14,11.6539,K-US500X,M0257_2564
2024-05-15,11.7903,K-US500X,M0257_2564
2024-05-16,11.7467,K-US500X,M0257_2564
2024-05-17,11.7706,K-US500X,M0257_2564
2024-05-20,11.771,K-US500X,M0257_2564
2024-05-21,11.8094,K-US500X,M0257_2564
2024-05-23,11.6963,K-US500X,M0257_2564
2024-05-24,11.7788,K-US500X,M0257_2564
2024-05-28,11.7822,K-US500X,M0257_2564
2024-05-29,11.701,K-US500X,M0257_2564
2024-05-30,11.6256,K-US500X,M0257_2564
2024-05-31,11.7274,K-US500X,M0257_2564
2024-06-04,11.7385,K-US500X,M0257_2564
2024-06-05,11.8817,K-US500X,M0257_2564
2024-06-06,11.8753,K-US500X,M0257_2564
2024-06-07,11.856,K-US500X,M0257_2564
2024-06-10,11.9055,K-US500X,M0257_2564
2024-06-11,11.9254,K-US500X,M0257_2564
2024-06-12,12.0219,K-US500X,M0257_2564
2024-06-13,12.0456,K-US500X,M0257_2564
2024-06-14,12.0515,K-US500X,M0257_2564
2024-06-17,12.1517,K-US500X,M0257_2564
2024-06-18,12.1803,K-US500X,M0257_2564
2024-06-20,12.1358,K-US500X,M0257_2564
2024-06-21,12.1118,K-US500X,M0257_2564
2024-06-24,12.0782,K-US500X,M0257_2564
2024-06-25,12.1216,K-US500X,M0257_2564
2024-06-26,12.1432,K-US500X,M0257_2564
2024-06-27,12.164,K-US500X,M0257_2564
2024-06-28,12.1132,K-US500X,M0257_2564
2024-07-01,12.1338,K-US500X,M0257_2564
2024-07-02,12.2124,K-US500X,M0257_2564
